id,date,rating,comment
499*****,2026-07-18 20:09:27,1,"너무화가 나네요무슨 대사는 비속어(18,jot) 이런거 밖에 없고, 내용은 부실하며 무슨 용가리 디워 같은 cg가져다 붙여놓고 처음 한시간동안 황정민이 괴물 찾아다니는 스토리는 왜이렇게 긴지… 두시간 반을 기다리며 마지막에 뭔가 있겠지…기다린 제 자신이 너무 한심스럽습니다. 조인성은 대사의 80%가 18이네요…부디제 관람평 보고 이 영화 안보셨으면 하는 마음에 관람평 처음 써봅니다."
499*****,2026-07-18 19:01:05,1,도대체  내용이 있긴한건지..
159*****,2026-07-18 17:50:02,10,<추격자><황해><곡성><호프>... 네 편 다 쫓거나 쫓긴다. 숨이 막힌다. 영화관을 나오면 나에게 익숙한 이 세상이 낯설어 보인다. 벌써 그의 다음 영화가 기다려진다. 부디 10년 안으로 만들어 주길 바란다^^;
328*****,2026-07-18 17:03:53,1,"대작이라는 기대가 컸는데 제게는 지루함 그 자체였습니다. 전개가 너무 느려 몰입이 되지 않았고, 결국 끝까지 보지 못하고 중간에 나왔습니다. 아쉬운 작품이었습니다."
106*****,2026-07-18 16:27:22,7,재미있는 난장판
393*****,2026-07-18 16:13:58,10,CG 훌륭했고  몰입감도 좋았음마지막 조인성 살았을때 관객들 박수터짐
100*****,2026-07-18 16:12:28,5,"프레임 안 특별한 화폭 두어 개, 암시와 불필요한 궁금증만"
499*****,2026-07-18 15:56:40,1,"1. 여배우 연기 진짜 보기 힘듦(개발연기 최고봉)2. 스토리 개연성 전혀 없음3. 외계인이 사람들 쫓아가면서 잡을듯 한데, 화면 바뀌면 또 멀어져 있음4. 황정민 특유의 오버 연기, 완전 극에 달함, 정말 보기 힘듦5. 조연 할배들, 애드립인지 대사인지는 몰라도 하나도 안웃김6. 조인성은 그렇게 맞고 높은데서 떨어졌는데도 죽지도 않음7. 대사가 욕밖에 없음.8. 외계인들 스토리가 전혀 공개되지 않아 이해가 안됨나 지금껏, 영화 아무리 재미없어도 관람평 써본적이 없는데, 이건 열받아서 씀"
957*****,2026-07-18 15:40:20,4,I came with hope.I left without hope.Disappointment was on the screen.A lowbrow movie full of nothing but profanity.
499*****,2026-07-18 14:45:25,8,액션과 스토리 크게 나쁘지 않았고나름 재미있게 보았네요.진격의거인 + 리니지 느낌.
lil*****,2026-07-18 13:35:01,10,의도적으로 텅 비게 뒤틀게 만들고 오직 앞만 보고 달리며 속도에만 매달리는 이 시대의 메타 시네마. 모든걸 비우고 느껴 오감으로 체험해라.
499*****,2026-07-18 11:22:46,5,"절망 속 인간, 그 날 것을 보여주려 했지만 과했던 sf 호소 영화"
477*****,2026-07-18 08:35:49,2,앞에분 말대로 리뷰 남기기위해 정말 가입을 하게 되네요..세트장 만드냐 고생 많았었던것 같습니다.다만..1.관객의 눈높이에 안맞는 시대에 뒤쳐진 CG(특히.마지막 두 ET가 서서 대화장면은 거의 80년대 CG수준..)2.도입부가 너...무...길어 괴물 기다리다 지처 쓰러짐..3.절대 죽지않는 괴물과 ㅇㅅ..4.개연성이 여기저기 부족하고 역시나 산으로가는 이해불가 스토리와 관람객의 탄성(허걱)을 자아내는 결말..등이 좀 아쉽네요..
282*****,2026-07-18 07:21:08,1,700억들인 영화가 고작 이정도 수준인지 대실망 주제도 시사하는봐도 없는 오직 욕설과 괴물과 총싸움하다 끝나는 영화 칸에서 기립박수 받았다는게 신기할뿐
202*****,2026-07-18 03:43:50,10,"개인적으로 액션 즐기지 않습니다 2시간 30분 동안 스펙타클 액션만 보여줘서 힘들었습니다만 이런 스케일의 영화가 한국에서 나왔다는게 놀랍습니다 싸이즈가 한 획 합니다 적극 추천합니다 아, 욕 대사 많은데 작가의 한계려니 합니다"
453****,2026-07-18 00:42:51,1,"오후 6시 영화보고나서 아직까지도 빡친게 안풀려서 화가안풀림. 분명 긍정적인 부분이 있는 영화이나, 시간이 처절하게 아깝고. 영화관 벽을 보는게 더 흥미로운 영화. 리뷰 남길려고 오늘 가입도 했습니다. 내 시간이 너무 아까워서 진짜 분이 안풀려요."
144*****,2026-07-18 00:06:49,1,리뷰남길려고 개귀찮은 회원가입까지하고옴.내돈으로 본것도아닌데도 돈과 시간이 존나 아까운영화. 그래서 내가 저녁까지 사준영화. 마지막부분 황정민 대사가 영화 스토리인 영화. 좃같습니다 진짜로. 3부작같은소리 쳐 하고있네진짜 보지마세요
499*****,2026-07-17 23:49:51,1,세상 살다날다 이런 쓰레기 영화를 볼줄이야~ 주연 배우들도 시사회 보면서 `아~~ 망했다`했을거야
104*****,2026-07-17 23:48:23,1,개쓰레기 영화심형래 디워 수준
499*****,2026-07-17 23:23:25,1,진짜 걍 구라같았음 이 리뷰 남기려고 회원가입함 씨쥐도 허접하고 내용도 불친절함을 넘어 말이 안됨 그냥어떻게든 억지로 관객들 웃기겠다고 똥 설사 씨8같은 말들 대사에 꾸역꾸역 집어넣은것도 너무 짜증났음 이거 볼 바엔 맛있는 밥 한 끼 사드세요 진심임
499*****,2026-07-17 22:49:26,1,웬만하면 리뷰 안남기려고 했는데 돈과 시간이 너무 아까워서 도저히 참을수가 없다...말도 안되는 줄거리와 연출은 그렇다치고 솔까 배우들 연기도 이름값 다 날려먹는 수준이었다고 봄
